=== Улучшенный сервер (п.18) запущен ===
Клиент: 26.27.136.13:51554 | Запрос #1 | t1=4954 | t2=4954
Клиент: 26.27.136.13:51554 | Запрос #2 | t1=5964 | t2=5964
Клиент: 26.27.136.13:51555 | Запрос #1 | t1=6247 | t2=6247
Клиент: 26.27.136.13:51554 | Запрос #3 | t1=6980 | t2=6980
Клиент: 26.27.136.13:51555 | Запрос #2 | t1=7259 | t2=7259
Клиент: 26.27.136.13:51554 | Запрос #4 | t1=8018 | t2=8018
Клиент: 26.27.136.13:51555 | Запрос #3 | t1=8289 | t2=8289
Клиент: 26.27.136.13:51554 | Запрос #5 | t1=9041 | t2=9041
Клиент: 26.27.136.13:51555 | Запрос #4 | t1=9304 | t2=9304
Клиент: 26.27.136.13:51554 | Запрос #6 | t1=10057 | t2=10057
Клиент: 26.27.136.13:51555 | Запрос #5 | t1=10336 | t2=10336
Клиент: 26.27.136.13:51554 | Запрос #7 | t1=11074 | t2=11074
Клиент: 26.27.136.13:51555 | Запрос #6 | t1=11367 | t2=11367
Клиент: 26.27.136.13:51554 | Запрос #8 | t1=12087 | t2=12087
Клиент: 26.27.136.13:51555 | Запрос #7 | t1=12398 | t2=12398
Клиент: 26.27.136.13:51554 | Запрос #9 | t1=13120 | t2=13120
Клиент: 26.27.136.13:51555 | Запрос #8 | t1=13415 | t2=13415
Клиент: 26.27.136.13:51554 | Запрос #10 | t1=14150 | t2=14150
Клиент: 26.27.136.13:51555 | Запрос #9 | t1=14446 | t2=14446
Клиент: 26.27.136.13:51554 | Запрос #1 | t1=15177 | t2=15177
Клиент: 26.27.136.13:51555 | Запрос #10 | t1=15477 | t2=15477
Клиент: 26.27.136.13:51555 | Запрос #1 | t1=16502 | t2=16502
Клиент: 26.27.136.13:51554 | Запрос #2 | t1=18197 | t2=18197
Клиент: 26.27.136.13:51555 | Запрос #2 | t1=19524 | t2=19524
Клиент: 26.27.136.13:51554 | Запрос #3 | t1=21212 | t2=21212
Клиент: 26.27.136.13:51555 | Запрос #3 | t1=22538 | t2=22538
Клиент: 26.27.136.13:51554 | Запрос #4 | t1=24229 | t2=24229
Клиент: 26.27.136.13:51555 | Запрос #4 | t1=25556 | t2=25556
Клиент: 26.27.136.13:51554 | Запрос #5 | t1=27245 | t2=27245
Клиент: 26.27.136.13:51555 | Запрос #5 | t1=28585 | t2=28585
Клиент: 26.27.136.13:51554 | Запрос #6 | t1=30275 | t2=30275
Клиент: 26.27.136.13:51555 | Запрос #6 | t1=31601 | t2=31601
Клиент: 26.27.136.13:51554 | Запрос #7 | t1=33306 | t2=33306
Клиент: 26.27.136.13:51555 | Запрос #7 | t1=34617 | t2=34617
Клиент: 26.27.136.13:51554 | Запрос #8 | t1=36322 | t2=36322
